YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1986,11.03,11.43,12.83,12.43,17.73,20.03,22.93,21.33,21.63,19.33,14.13,11.43,11.40,14.33,21.43,18.36,16.38
1987,10.63,11.63,15.03,15.73,18.03,20.83,23.13,23.23,23.63,16.33,14.13,12.92,11.23,16.26,22.40,18.03,16.98
1988,11.92,11.52,14.22,14.82,16.42,18.92,21.52,22.12,22.92,18.42,14.72,10.62,12.12,15.15,20.85,18.69,16.70
1989,10.32,12.62,14.62,13.42,18.42,21.12,24.62,22.92,21.12,19.82,15.12,13.82,11.19,15.49,22.89,18.69,17.06
1990,10.72,13.92,15.12,14.22,19.12,19.92,23.82,23.62,21.62,17.92,13.72,10.41,12.82,16.15,22.45,17.75,17.30
1991,10.31,10.61,13.21,14.61,18.91,20.31,23.21,24.21,22.51,16.51,13.91,11.21,10.44,15.58,22.58,17.64,16.56
1992,9.11,11.31,14.81,15.81,18.81,18.21,22.71,23.51,20.41,15.81,15.01,12.10,10.54,16.48,21.48,17.08,16.39
1993,10.20,12.00,13.50,14.10,15.80,20.30,23.10,22.20,18.90,15.50,13.10,11.90,11.43,14.47,21.87,15.83,15.90
1994,11.20,11.20,15.60,15.10,16.20,21.10,21.30,22.30,20.50,18.30,14.70,12.60,11.43,15.63,21.57,17.83,16.62
1995,12.30,13.00,14.90,16.70,18.80,20.40,23.00,24.10,20.30,19.90,16.40,12.89,12.63,16.80,22.50,18.87,17.70
1996,12.19,10.89,13.49,16.09,16.79,999.90,22.99,21.29,20.29,18.19,14.29,12.29,11.99,15.46,21.41,17.59,16.61
1997,11.09,14.19,18.19,18.19,17.09,18.59,22.39,21.99,22.29,19.59,15.49,12.78,12.52,17.82,20.99,19.12,17.62
1998,12.28,13.88,15.98,14.08,16.78,20.08,22.28,23.28,20.98,17.88,15.18,10.38,12.98,15.61,21.88,18.01,17.12
1999,10.98,11.48,14.28,16.08,17.58,20.38,22.78,22.38,20.78,17.68,13.18,11.77,10.95,15.98,21.85,17.21,16.50
2000,9.07,13.87,15.27,13.47,17.57,21.67,22.07,23.27,21.47,17.87,13.87,13.57,11.57,15.44,22.34,17.74,16.77
2001,12.07,12.57,14.66,15.76,17.76,21.16,21.26,22.26,20.96,18.56,13.26,10.06,12.74,16.06,21.56,17.59,16.99
2002,12.36,13.26,14.76,15.36,16.66,19.56,21.66,21.96,19.96,18.86,14.76,13.55,11.89,15.59,21.06,17.86,16.60
2003,11.35,11.85,14.55,15.25,19.25,21.55,22.15,24.35,22.45,17.45,14.55,11.35,12.25,16.35,22.68,18.15,17.36
2004,12.45,11.85,12.95,15.45,17.75,22.75,23.25,22.95,21.55,17.95,13.75,11.54,11.88,15.38,22.98,17.75,17.00
2005,10.44,10.34,13.84,15.74,18.44,22.64,21.24,24.14,21.54,18.84,13.54,11.84,10.77,16.01,22.67,17.97,16.86
